,timestamp_year,timestamp_month,timestamp_day,total_irradiance
266,1980,9,24,1367.994
267,1980,9,25,1368.119
268,1980,9,26,1368.5629999999999
269,1980,9,27,1368.809
270,1980,9,28,1368.734
271,1980,9,29,1368.4920000000002
272,1980,9,30,1368.609
273,1980,10,1,1368.4720000000002
274,1980,10,2,1368.691
275,1980,10,3,1368.904
276,1980,10,4,1368.9360000000001
277,1980,10,5,1368.781
278,1980,10,6,1368.8870000000002
279,1980,10,7,1368.885
280,1980,10,8,1368.835
281,1980,10,9,1368.369
282,1980,10,10,1368.0720000000001
283,1980,10,11,1367.485
284,1980,10,12,1367.336
285,1980,10,13,1367.3270000000002
286,1980,10,14,1367.433
287,1980,10,15,1368.2079999999999
288,1980,10,16,1368.729
289,1980,10,17,1369.026
290,1980,10,18,1368.93
291,1980,10,19,1368.514
292,1980,10,20,1368.0610000000001
293,1980,10,21,1367.84
294,1980,10,22,1367.503
295,1980,10,23,1367.545
296,1980,10,24,1367.8139999999999
297,1980,10,25,1368.3120000000001
298,1980,10,26,1368.3220000000001
299,1980,10,27,1368.515
300,1980,10,28,1368.5710000000001
301,1980,10,29,1368.515
302,1980,10,30,1368.5770000000002
303,1980,10,31,1368.219
304,1980,11,1,1368.247
305,1980,11,2,1368.136
306,1980,11,3,1367.7839999999999
307,1980,11,4,1367.443
308,1980,11,5,1367.185
309,1980,11,6,1366.953
310,1980,11,7,1366.838
311,1980,11,8,1366.644
312,1980,11,9,1366.72
313,1980,11,10,1366.836
314,1980,11,11,1366.852
315,1980,11,12,1367.0720000000001
316,1980,11,13,1367.245
317,1980,11,14,
318,1980,11,15,
319,1980,11,16,
320,1980,11,17,
321,1980,11,18,1368.0510000000002
322,1980,11,19,1368.203
323,1980,11,20,1368.213
324,1980,11,21,1368.442
325,1980,11,22,1368.568
326,1980,11,23,
327,1980,11,24,
328,1980,11,25,
329,1980,11,26,
330,1980,11,27,
331,1980,11,28,
332,1980,11,29,
333,1980,11,30,
334,1980,12,1,1368.389
335,1980,12,2,1368.078
336,1980,12,3,1368.3570000000002
337,1980,12,4,1368.777
338,1980,12,5,1368.79
339,1980,12,6,1368.8670000000002
340,1980,12,7,1369.14
341,1980,12,8,1369.2320000000002
342,1980,12,9,1369.2379999999998
343,1980,12,10,1368.6729999999998
344,1980,12,11,1368.596
345,1980,12,12,
346,1980,12,13,
347,1980,12,14,
348,1980,12,15,1367.638
349,1980,12,16,1365.609
